computer	application	vendor	version
160600EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
160600EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
160600EIU	Adobe AIR	Adobe Systems Incorporated	2.6.0.19140
160600EIU	Apple Application Support	Apple Inc.	1.5.1
160600EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
160600EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
160600EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
160600EIU	Java(TM) 6 Update 24	Oracle	6.0.240
160600EIU	Acrobat.com	Adobe Systems Incorporated	2.1.0
160600EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
160600EIU	Adobe Reader 9.4.3	Adobe Systems Incorporated	9.4.3
160600EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
160600EIU	Microsoft WSE 3.0 Runtime	Microsoft Corp.	3.0.5305.0
160600EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
160600EIU	LM Agent	Lumension Security, Inc.	7.0.0.639
160600EIU	Broadcom Gigabit NetLink Controller	Broadcom Corporation	12.33.02
160600EIU	J2SE Runtime Environment 5.0 Update 12	Sun Microsystems, Inc.	1.5.0.120
160600EIU	QuickTime	Apple Inc.	7.69.80.9
160600EIU	Apple Software Update	Apple Inc.	2.1.2.120
160600EIU	iTunes	Apple Inc.	10.2.2.12
160600EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
160600EIU	Sassafras K2 Client	Sassafras Software Inc.	6.2
160600EIU	Bonjour	Apple Inc.	2.0.2.0
160600EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
160600EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
160600EIU	Apple Mobile Device Support	Apple Inc.	3.4.0.25
160600EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
