computer	application	vendor	version
160599EIU	StarBoard Document Capture	Hitachi Software Engineering Co., Ltd.	8.0
160599EIU	StarBoard Driver	Hitachi Software Engineering Co., Ltd.	8.01.0000
160599EIU	USB Tablet Manager	Hitachi Software Engineering Co., Ltd.	3.31.0000
160599EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
160599EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
160599EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
160599EIU	Windows Media Encoder 9 Series	Microsoft Corporation	9.00.2980
160599EIU	QuickTime	Apple Inc.	7.70.80.34
160599EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
160599EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
160599EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
160599EIU	Java(TM) 6 Update 24	Oracle	6.0.240
160599EIU	Acrobat.com	Adobe Systems Incorporated	2.1.0
160599EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
160599EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
160599EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
160599EIU	Microsoft WSE 3.0 Runtime	Microsoft Corp.	3.0.5305.0
160599EIU	Adobe AIR	Adobe Systems Incorporated	2.7.1.19610
160599EIU	swMSM	Adobe Systems, Inc	12.0.0.1
160599EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
160599EIU	LM Agent	Lumension Security, Inc.	7.0.0.639
160599EIU	Broadcom Gigabit NetLink Controller	Broadcom Corporation	12.33.02
160599EIU	J2SE Runtime Environment 5.0 Update 12	Sun Microsystems, Inc.	1.5.0.120
160599EIU	iTunes	Apple Inc.	10.5.0.142
160599EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
160599EIU	Sassafras K2 Client	Sassafras Software Inc.	6.2
160599EIU	StarBoard Software	Hitachi Software Engineering Co., Ltd.	8.0
160599EIU	Bonjour	Apple Inc.	2.0.2.0
160599EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
160599EIU	Apple Application Support	Apple Inc.	2.1.5
160599EIU	StarBoard Software StandardGallery		8.00.0000
160599EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
160599EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
